시도별,사육규모별,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4,2021 1/4,2021 2/4,2021 3/4
시도별,사육규모별,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수,마리수
서울특별시,합계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"10,000 미만",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"10,000~30,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"30,000~50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"50,000 이상",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,합계,"69,500","93,264","85,400","36,500","114,330","121,000","23,500","15,000","80,800","20,500","51,500","67,000","57,500","25,000","30,000",0,"92,665","41,200","51,200"
,"10,000 미만","19,500","28,664","22,300","19,500","22,000","28,200","23,500","5,000","15,800","20,500","11,500","3,000","7,500",0,"5,000",0,"7,575",0,"7,210"
,"10,000~30,000",0,"25,000","23,100","17,000",0,"23,000",0,"10,000","25,000",0,0,"24,000",0,"25,000","25,000",0,0,0,"43,990"
,"30,000~50,000",0,"39,600","40,000",0,"42,330","69,800",0,0,"40,000",0,"40,000","40,000",0,0,0,0,"85,090","41,200",0
,"50,000 이상","50,000",0,0,0,"50,000",0,0,0,0,0,0,0,"50,000",0,0,0,0,0,0
대구광역시,합계,"384,000","388,500","316,700","347,000","322,000","303,000","310,000","295,750","230,000","294,720","292,340","325,000","215,000","285,000","299,000","324,000","192,000","230,000","260,000"
,"10,000 미만",0,"7,500","7,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"10,000~30,000","12,000","22,000","21,500",0,0,"23,000","22,000",0,0,0,0,0,0,0,0,0,0,0,0
,"30,000~50,000","40,000","39,000",0,"38,000","35,000",0,"38,000","37,550",0,0,0,0,0,0,0,0,"32,000",0,0
,"50,000 이상","332,000","320,000","288,000","309,000","287,000","280,000","250,000","258,200","230,000","294,720","292,340","325,000","215,000","285,000","299,000","324,000","160,000","230,000","260,000"
인천광역시,합계,"701,100","1,175,700","711,000","707,550","726,200","896,900","762,761","658,100","732,470","750,200","343,350","716,900","387,195","1,004,400","459,150","541,869","400,700","1,077,270","644,956"
,"10,000 미만","47,100","33,600","34,500","31,250","26,200","28,900","12,761","13,900","11,970","5,200","5,150","5,300","12,195","24,100","15,400","14,869","31,400","25,170","42,656"
,"10,000~30,000","10,000","68,100","109,800","21,300","83,000","85,000","86,500","82,000","63,500","76,000","33,000","61,000","40,000","40,300","43,000","39,500","58,400","158,100","56,000"
,"30,000~50,000","134,000","256,000","276,700","264,500","357,500","192,000","178,000","169,200","238,000","228,000","177,200","159,600","285,000","185,000","151,750","120,000","242,400","160,000","118,000"
,"50,000 이상","510,000","818,000","290,000","390,500","259,500","591,000","485,500","393,000","419,000","441,000","128,000","491,000","50,000","755,000","249,000","367,500","68,500","734,000","428,300"
광주광역시,합계,"336,000","141,700","273,200","99,000","130,000","316,000","281,000","145,400","229,000","323,000","264,000","83,000","228,000","227,500","75,500","231,000","123,000","128,900","138,100"
,"10,000 미만",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,500","3,000","3,000",0,"4,500","4,500"
,"10,000~30,000","23,000","22,000","20,000","20,000","12,000","24,000","23,000","22,000",0,0,0,0,0,0,"25,000",0,0,0,"14,500"
,"30,000~50,000","124,000","119,700","108,200","79,000","118,000","36,000","113,000","123,400","79,000","126,000","119,000","83,000","83,000","83,000","47,500","83,000","123,000","124,400","119,100"
,"50,000 이상","189,000",0,"145,000",0,0,"256,000","145,000",0,"150,000","197,000","145,000",0,"145,000","140,000",0,"145,000",0,0,0
대전광역시,합계,"25,300","98,200","9,400","13,100","13,000","66,300",0,0,"20,000","94,000","50,000",0,"80,000","108,000",0,"55,000","69,000","85,500","65,000"
,"10,000 미만","10,300","11,200","9,400","3,100","3,000","3,300",0,0,0,"3,000",0,0,0,0,0,0,"9,000","5,000",0
,"10,000~30,000","15,000","57,000",0,"10,000","10,000","32,000",0,0,"20,000","41,000",0,0,"30,000","27,000",0,0,0,"10,500",0
,"30,000~50,000",0,"30,000",0,0,0,"31,000",0,0,0,0,0,0,0,"31,000",0,0,0,0,0
,"50,000 이상",0,0,0,0,0,0,0,0,0,"50,000","50,000",0,"50,000","50,000",0,"55,000","60,000","70,000","65,000"
울산광역시,합계,"493,748","481,081","386,927","374,197","438,585","425,356","354,395","396,182","432,490","383,550","366,290","269,334","409,158","389,850","333,300","375,300","406,600","398,350","397,600"
,"10,000 미만","15,300","14,400","3,000","5,300","15,530","12,800","15,300","12,350",0,0,"15,790","17,000","20,000","19,980","15,400","11,800","34,400","33,250","33,900"
,"10,000~30,000","71,000","67,400","62,050","75,400","89,010","79,340","42,000","23,000","34,500","32,750",0,0,0,"15,000",0,"16,000",0,0,0
,"30,000~50,000","39,000","38,500","37,200","31,550",0,0,0,"36,000",0,0,0,"37,000",0,"35,000","39,000","35,000",0,0,0
,"50,000 이상","368,448","360,781","284,677","261,947","334,045","333,216","297,095","324,832","397,990","350,800","350,500","215,334","389,158","319,870","278,900","312,500","372,200","365,100","363,700"
