시도별,사육규모별,2017 1/4,,2017 1/2,,2017 3/4,,2018 ,,2018 1/4,,2018 1/2,,2018 3/4,,2019 ,,2019 1/4,,2019 1/2,,2019 3/4,,2020 ,,2020 1/4,,2020 1/2,,2020 3/4,,2021 ,,2021 1/4,,2021 1/2,,2021 3/4,
,,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수
전국,합계,,"11,004,533",,"11,186,783",,"11,493,282",,"11,272,978",,"11,156,224",,"11,303,750",,"11,640,677",,"11,332,812",,"11,199,715",,"11,316,546",,"11,712,607",,"11,279,894",,"11,208,400",,"11,088,495",,"11,364,564",,"11,078,032",,"11,146,824",,"11,150,373",,"11,464,603"
,"1,000 미만",,"1,137,276",,"1,152,320",,"1,158,976",,"1,161,089",,"1,136,116",,"1,139,119",,"1,081,888",,"1,076,232",,"1,036,330",,"1,035,171",,"1,018,313",,"940,981",,"987,851",,"998,577",,"963,585",,"925,738",,"958,645",,"934,171",,"873,842"
,"1,000~5,000",,"6,433,223",,"6,446,029",,"6,533,751",,"6,429,744",,"6,465,494",,"6,502,852",,"6,814,227",,"6,660,954",,"6,570,460",,"6,576,798",,"6,732,711",,"6,481,222",,"6,526,307",,"6,452,120",,"6,735,825",,"6,565,575",,"6,493,967",,"6,557,493",,"6,770,165"
,"5,000~10,000",,"1,713,366",,"1,822,344",,"1,861,926",,"1,880,572",,"1,814,453",,"1,891,089",,"1,899,295",,"1,809,745",,"1,859,512",,"1,944,058",,"2,046,969",,"1,963,243",,"2,017,775",,"1,924,896",,"1,867,646",,"1,879,861",,"1,985,051",,"1,981,026",,"2,073,169"
,"10,000 이상",,"1,720,668",,"1,766,090",,"1,938,629",,"1,801,573",,"1,740,162",,"1,770,690",,"1,845,267",,"1,785,882",,"1,733,413",,"1,760,519",,"1,914,614",,"1,894,449",,"1,676,466",,"1,712,902",,"1,797,508",,"1,706,859",,"1,709,161",,"1,677,684",,"1,747,427"
서울특별시,합계,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"1,000 미만",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"1,000~5,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
부산광역시,합계,,"6,811",,"6,834",,"7,601",,"7,341",,"7,155",,"7,170",,"7,171",,"7,098",,"6,504",,"6,178",,"6,318",,"5,941",,"4,912",,"5,249",,"4,023",,"4,474",,"4,613",,"4,501",,"4,377"
,"1,000 미만",,"4,017",,"3,969",,"4,534",,"4,351",,"4,350",,"4,547",,"4,334",,"4,169",,"3,733",,"3,238",,"3,024",,"2,907",,"2,371",,"2,514",,"2,921",,"3,224",,"3,264",,"2,966",,"3,355"
,"1,000~5,000",,"2,794",,"2,865",,"3,067",,"2,990",,"2,805",,"2,623",,"2,837",,"2,929",,"2,771",,"2,940",,"3,294",,"3,034",,"2,541",,"2,735",,"1,102",,"1,250",,"1,349",,"1,535",,"1,022"
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
대구광역시,합계,,"10,100",,"9,595",,"9,860",,"9,024",,"9,185",,"7,683",,"8,824",,"7,211",,"9,108",,"7,136",,"8,533",,"9,293",,"9,647",,"8,219",,"8,262",,"8,268",,"8,062",,"7,521",,"8,284"
,"1,000 미만",,881,,651,,655,,393,,"1,385",,742,,"1,149",,"1,295",,959,,"1,176",,"1,823",,234,,"1,032",,819,,914,,901,,929,,887,,915
,"1,000~5,000",,"9,219",,"8,944",,"9,205",,"8,631",,"7,800",,"6,941",,"7,675",,"5,916",,"8,149",,"5,960",,"6,710",,"9,059",,"8,615",,"7,400",,"7,348",,"7,367",,"7,133",,"6,634",,"7,369"
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
인천광역시,합계,,"42,638",,"44,842",,"46,692",,"43,694",,"42,670",,"41,568",,"45,526",,"40,773",,"42,109",,"40,466",,"41,523",,"3,474",,"3,359",,"3,587",,"3,848",,"3,887",,"3,920",,"4,070",,"6,129"
,"1,000 미만",,"13,698",,"13,825",,"12,882",,"14,367",,"13,571",,"15,571",,"13,085",,"14,871",,"13,609",,"13,694",,"14,758",,774,,639,,687,,848,,887,,"1,120",,"1,370",,"3,719"
,"1,000~5,000",,"28,940",,"31,017",,"33,810",,"29,326",,"29,099",,"25,997",,"32,441",,"25,902",,"28,500",,"26,772",,"26,765",,"2,700",,"2,720",,"2,900",,"3,000",,"3,000",,"2,800",,"2,700",,"2,410"
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
광주광역시,합계,,"8,443",,"8,185",,"9,155",,"9,005",,"8,155",,"8,064",,"8,791",,"8,920",,"8,004",,"7,612",,"7,779",,"7,660",,"7,812",,"8,703",,"8,883",,"9,101",,"8,977",,"9,112",,"9,597"
,"1,000 미만",,"2,972",,"2,225",,"1,414",,"2,534",,"2,241",,"2,496",,"2,584",,"2,454",,"1,771",,"2,062",,"2,064",,"1,777",,"2,260",,"2,203",,"2,065",,"1,377",,"1,404",,"2,515",,"2,368"
,"1,000~5,000",,"5,471",,"5,960",,"7,741",,"6,471",,"5,914",,"5,568",,"6,207",,"6,466",,"6,233",,"5,550",,"5,715",,"5,883",,"5,552",,"6,500",,"6,818",,"7,724",,"7,573",,"6,597",,"7,229"
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
대전광역시,합계,,111,,78,,92,,90,,82,,106,,92,,115,,104,,94,,109,,98,,100,,97,,90,,80,,90,,90,,92
,"1,000 미만",,111,,78,,92,,90,,82,,106,,92,,115,,104,,94,,109,,98,,100,,97,,90,,80,,90,,90,,92
,"1,000~5,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"5,000~10,000",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
울산광역시,합계,,"34,167",,"31,161",,"30,739",,"34,657",,"30,860",,"33,742",,"31,693",,"32,200",,"31,397",,"35,011",,"34,544",,"31,656",,"37,522",,"34,850",,"33,671",,"35,369",,"32,069",,"25,649",,"22,460"
,"1,000 미만",,"6,530",,"7,916",,"7,460",,"7,784",,"7,890",,"8,902",,"9,025",,"9,141",,"7,499",,"7,760",,"6,744",,"7,598",,"8,130",,"7,303",,"7,289",,"7,322",,"8,046",,"7,603",,"7,576"
,"1,000~5,000",,"6,522",,"5,530",,"5,370",,"5,065",,"4,840",,"4,860",,"4,860",,"4,808",,"6,114",,"6,050",,"7,103",,"6,097",,"7,292",,"6,272",,"11,863",,"7,465",,"6,082",,"10,866",,"7,646"
,"5,000~10,000",,"8,454",,"6,906",,"7,151",,"6,882",,"7,130",,"7,180",,"6,208",,"5,751",,"5,284",,"6,880",,"6,740",,"6,445",,"5,708",,"5,852",,0,,"6,467",,"7,941",,"7,180",,"7,238"
,"10,000 이상",,"12,662",,"10,809",,"10,757",,"14,926",,"11,000",,"12,800",,"11,600",,"12,500",,"12,500",,"14,321",,"13,957",,"11,516",,"16,392",,"15,423",,"14,519",,"14,115",,"10,000",,0,,0
세종특별자치시,합계,,"92,234",,"92,127",,"95,764",,"97,980",,"80,664",,"82,420",,"93,331",,"91,656",,"91,551",,"91,091",,"89,133",,"89,091",,"95,632",,"96,274",,"100,781",,"95,062",,"94,944",,"93,476",,"96,276"
,"1,000 미만",,"11,454",,"10,855",,"10,475",,"10,186",,"11,560",,"12,071",,"10,258",,"10,920",,"11,405",,"10,272",,"9,059",,"8,740",,"7,186",,"9,156",,"8,010",,"10,376",,"9,361",,"8,793",,"6,350"
,"1,000~5,000",,"57,313",,"63,012",,"56,678",,"57,068",,"50,837",,"56,606",,"64,768",,"67,793",,"61,782",,"67,040",,"67,921",,"67,815",,"81,600",,"73,633",,"79,289",,"71,845",,"72,378",,"71,518",,"75,684"
,"5,000~10,000",,"23,467",,"18,260",,"28,611",,"30,726",,"18,267",,"13,743",,"18,305",,"12,943",,"18,364",,"13,779",,"12,153",,"12,536",,"6,846",,"13,485",,"13,482",,"12,841",,"13,205",,"13,165",,"14,242"
,"10,000 이상",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
경기도,합계,,"1,925,487",,"1,965,043",,"2,091,070",,"1,986,353",,"1,978,293",,"1,999,972",,"2,041,176",,"1,988,203",,"1,913,235",,"1,963,378",,"2,085,162",,"1,715,054",,"1,692,370",,"1,652,978",,"1,708,395",,"1,702,727",,"1,679,349",,"1,642,799",,"1,767,041"
,"1,000 미만",,"285,240",,"290,470",,"300,144",,"301,498",,"299,430",,"306,394",,"274,110",,"280,355",,"280,401",,"261,475",,"262,401",,"207,363",,"208,114",,"201,486",,"225,791",,"204,450",,"205,287",,"208,339",,"205,938"
,"1,000~5,000",,"1,067,902",,"1,106,579",,"1,163,796",,"1,133,923",,"1,141,326",,"1,155,246",,"1,181,275",,"1,155,270",,"1,077,683",,"1,131,495",,"1,214,152",,"1,001,285",,"966,556",,"1,012,418",,"1,017,723",,"1,045,037",,"991,711",,"999,934",,"1,067,854"
,"5,000~10,000",,"352,832",,"365,672",,"379,664",,"347,957",,"376,788",,"366,419",,"397,302",,"364,610",,"368,694",,"395,480",,"393,840",,"336,564",,"354,549",,"288,805",,"287,189",,"275,913",,"323,861",,"290,920",,"341,867"
,"10,000 이상",,"219,512",,"202,322",,"247,466",,"202,975",,"160,749",,"171,912",,"188,489",,"187,968",,"186,457",,"174,929",,"214,769",,"169,842",,"163,151",,"150,269",,"177,692",,"177,327",,"158,490",,"143,607",,"151,382"
강원도,합계,,"483,763",,"463,848",,"463,320",,"466,252",,"476,825",,"479,457",,"500,072",,"489,149",,"485,875",,"500,894",,"512,171",,"500,706",,"471,590",,"465,411",,"481,693",,"464,028",,"458,675",,"470,774",,"466,989"
,"1,000 미만",,"45,637",,"43,642",,"39,914",,"43,363",,"40,954",,"38,272",,"38,113",,"39,454",,"38,074",,"33,249",,"36,241",,"28,365",,"35,259",,"47,617",,"31,707",,"40,135",,"29,184",,"38,060",,"29,196"
,"1,000~5,000",,"271,200",,"264,918",,"248,357",,"268,637",,"257,581",,"274,972",,"288,922",,"290,910",,"278,872",,"290,001",,"297,856",,"292,886",,"262,666",,"242,159",,"262,868",,"257,607",,"272,909",,"261,705",,"254,846"
,"5,000~10,000",,"73,955",,"64,516",,"69,777",,"52,117",,"78,222",,"64,830",,"67,049",,"58,502",,"69,570",,"72,093",,"69,340",,"65,849",,"67,457",,"69,587",,"67,798",,"64,724",,"56,629",,"68,507",,"74,298"
,"10,000 이상",,"92,971",,"90,772",,"105,272",,"102,135",,"100,069",,"101,383",,"105,988",,"100,283",,"99,359",,"105,551",,"108,735",,"113,606",,"106,208",,"106,048",,"119,320",,"101,562",,"99,954",,"102,501",,"108,648"
충청북도,합계,,"622,693",,"612,638",,"644,918",,"648,769",,"646,933",,"650,682",,"676,635",,"639,932",,"629,006",,"632,680",,"640,238",,"600,971",,"599,565",,"598,868",,"647,098",,"614,951",,"614,535",,"636,162",,"655,271"
,"1,000 미만",,"67,326",,"62,534",,"59,094",,"62,874",,"50,546",,"58,201",,"54,978",,"51,938",,"42,549",,"55,389",,"50,338",,"52,840",,"52,453",,"58,148",,"55,730",,"42,619",,"57,500",,"51,562",,"43,601"
,"1,000~5,000",,"311,351",,"307,245",,"329,808",,"338,853",,"347,230",,"352,577",,"350,182",,"335,298",,"334,897",,"322,297",,"343,152",,"296,372",,"308,573",,"285,600",,"338,722",,"319,227",,"298,370",,"311,699",,"335,385"
,"5,000~10,000",,"110,118",,"126,865",,"119,662",,"123,112",,"106,773",,"106,225",,"131,413",,"119,332",,"129,775",,"130,166",,"121,334",,"132,413",,"132,347",,"146,835",,"121,950",,"120,787",,"142,579",,"154,050",,"133,695"
,"10,000 이상",,"133,897",,"115,994",,"136,354",,"123,930",,"142,384",,"133,680",,"140,061",,"133,363",,"121,785",,"124,828",,"125,413",,"119,346",,"106,192",,"108,285",,"130,696",,"132,318",,"116,086",,"118,850",,"142,590"
충청남도,합계,,"2,219,844",,"2,296,012",,"2,350,092",,"2,320,328",,"2,302,076",,"2,340,200",,"2,412,180",,"2,329,246",,"2,311,265",,"2,304,259",,"2,417,449",,"2,429,596",,"2,342,369",,"2,300,309",,"2,384,818",,"2,330,562",,"2,298,413",,"2,316,294",,"2,371,666"
,"1,000 미만",,"210,044",,"206,900",,"196,536",,"213,142",,"213,336",,"210,478",,"202,069",,"212,397",,"188,523",,"174,679",,"182,788",,"182,917",,"193,292",,"179,355",,"184,191",,"201,415",,"201,165",,"181,222",,"160,594"
,"1,000~5,000",,"1,312,302",,"1,290,251",,"1,337,591",,"1,277,578",,"1,321,300",,"1,283,559",,"1,399,157",,"1,345,587",,"1,360,221",,"1,325,156",,"1,334,124",,"1,341,713",,"1,336,752",,"1,317,187",,"1,404,526",,"1,361,653",,"1,299,615",,"1,335,958",,"1,381,145"
,"5,000~10,000",,"305,231",,"336,014",,"326,781",,"363,548",,"355,088",,"403,157",,"323,010",,"351,239",,"353,868",,"397,726",,"415,349",,"392,367",,"418,317",,"377,791",,"381,103",,"353,391",,"371,424",,"347,351",,"395,022"
